"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest"
"910557","E02002330","E02002330",66,0,0,0,0,0,1,29,4,1,31,0,0,0.3,19.8,18.8,-1.40057715899652,53.9291452967314,-1.40057715899652,53.9291452967314
"910558","E02002330","E02002331",742,0,0,1,5,1,1,426,51,38,218,1,3549.22087816988,0.147516244072655,109.45705310191,71.4570531019102,-1.40057715899652,53.9291452967314,-1.34765338801317,53.9226868902534
"910559","E02002330","E02002332",2,0,0,0,0,0,0,2,0,0,0,0,20109.0471207848,0.00537615293474396,0.0107523058694879,0.0107523058694879,-1.40057715899652,53.9291452967314,-1.70526664193724,53.9113271891649
"910560","E02002330","E02002333",9,0,0,0,0,0,0,6,0,2,1,0,19121.6850015789,0.00654987178299582,0.0589488460469624,-1.94105115395304,-1.40057715899652,53.9291452967314,-1.6876952052199,53.9007791557042
"910561","E02002330","E02002334",50,0,0,0,3,1,0,43,0,1,2,0,5900.57179085914,0.0921730802326591,4.60865401163296,3.60865401163296,-1.40057715899652,53.9291452967314,-1.35765242854091,53.882563862936
"910562","E02002330","E02002335",23,0,0,0,0,0,0,20,1,0,2,0,6232.90271463848,0.0862458493890926,1.98365453594913,1.98365453594913,-1.40057715899652,53.9291452967314,-1.4710718403468,53.8916514301921
"910563","E02002330","E02002336",4,0,0,0,0,0,0,4,0,0,0,0,15470.1292984517,0.0135957414491211,0.0543829657964844,0.0543829657964844,-1.40057715899652,53.9291452967314,-1.62436521084849,53.885895467259
"910564","E02002330","E02002337",2,0,0,0,0,0,0,2,0,0,0,0,23165.9886840322,0.00291708473122507,0.00583416946245013,0.00583416946245013,-1.40057715899652,53.9291452967314,-1.74339777228578,53.8804538586686
"910565","E02002330","E02002338",1,0,0,0,0,0,0,1,0,0,0,0,21382.710025664,0.00416718383994044,0.00416718383994044,0.00416718383994044,-1.40057715899652,53.9291452967314,-1.71058960178947,53.8707163700342
"910566","E02002330","E02002339",3,0,0,0,0,0,0,3,0,0,0,0,20454.1062132781,0.00501764766876457,0.0150529430062937,0.0150529430062937,-1.40057715899652,53.9291452967314,-1.69418216051999,53.8680881823462
"910567","E02002330","E02002340",1,0,0,0,0,0,0,1,0,0,0,0,19466.6393730194,0.00611322587344486,0.00611322587344486,0.00611322587344486,-1.40057715899652,53.9291452967314,-1.67853467578578,53.8686194272494
"910568","E02002330","E02002341",6,0,0,0,0,0,0,6,0,0,0,0,12130.6253312953,0.0265135893814049,0.159081536288429,0.159081536288429,-1.40057715899652,53.9291452967314,-1.55533198144024,53.8696972209857
"910569","E02002330","E02002343",3,0,0,0,0,0,0,3,0,0,0,0,19933.0662219545,0.00556874230415054,0.0167062269124516,0.0167062269124516,-1.40057715899652,53.9291452967314,-1.6775621599311,53.856149448222
"910570","E02002330","E02002344",3,0,0,0,0,0,0,3,0,0,0,0,11699.0779102743,0.0289036213241243,0.0867108639723729,0.0867108639723729,-1.40057715899652,53.9291452967314,-1.52530584193474,53.854124311166
"910571","E02002330","E02002345",6,0,0,0,0,0,0,5,0,0,1,0,14759.4183819573,0.0156723623035678,0.0940341738214066,0.0940341738214066,-1.40057715899652,53.9291452967314,-1.58965732191195,53.8575607215892
"910572","E02002330","E02002346",1,0,0,0,0,0,0,1,0,0,0,0,16817.3618840542,0.0103844562610071,0.0103844562610071,0.0103844562610071,-1.40057715899652,53.9291452967314,-1.61864375173256,53.8500711391054
"910573","E02002330","E02002347",5,0,0,0,0,0,0,5,0,0,0,0,13342.9965426716,0.0208047882828846,0.104023941414423,0.104023941414423,-1.40057715899652,53.9291452967314,-1.55197061346592,53.8492478781359
"910574","E02002330","E02002348",3,0,0,0,0,0,0,3,0,0,0,0,16299.1770471881,0.0115184150716712,0.0345552452150137,0.0345552452150137,-1.40057715899652,53.9291452967314,-1.60485137503536,53.8460916699259
"910575","E02002330","E02002349",3,0,0,0,0,0,0,3,0,0,0,0,11484.1421303969,0.030173198050881,0.090519594152643,0.090519594152643,-1.40057715899652,53.9291452967314,-1.49772700940708,53.8433559571037
"910576","E02002330","E02002350",4,0,0,0,1,0,0,3,0,0,0,0,18511.7371190438,0.00739966738219163,0.0295986695287665,0.0295986695287665,-1.40057715899652,53.9291452967314,-1.64568183696925,53.8471890098251
"910577","E02002330","E02002351",10,0,0,0,0,0,0,7,3,0,0,0,9738.0669094155,0.042784209293575,0.42784209293575,0.42784209293575,-1.40057715899652,53.9291452967314,-1.44096637163261,53.8449366971065
"910578","E02002330","E02002352",5,0,0,0,0,0,0,2,1,0,2,0,12985.5394881542,0.0223466087781407,0.111733043890704,0.111733043890704,-1.40057715899652,53.9291452967314,-1.53161827349486,53.8418058636439
"910579","E02002330","E02002353",3,0,0,0,0,0,0,3,0,0,0,0,12529.3423872783,0.0244814086088662,0.0734442258265985,0.0734442258265985,-1.40057715899652,53.9291452967314,-1.5182369925797,53.8405491500151
"910580","E02002330","E02002354",6,0,0,0,0,0,0,6,0,0,0,0,13937.0466040499,0.0184741628615127,0.110844977169076,0.110844977169076,-1.40057715899652,53.9291452967314,-1.54853279847116,53.8394232219304
"910581","E02002330","E02002356",14,0,0,0,1,0,0,12,1,0,0,0,20309.084048176,0.00516531281452349,0.0723143794033289,0.0723143794033289,-1.40057715899652,53.9291452967314,-1.66983657169979,53.8396256342399
"910582","E02002330","E02002357",1,0,0,0,0,0,0,1,0,0,0,0,18252.6717240514,0.00779317327916067,0.00779317327916067,0.00779317327916067,-1.40057715899652,53.9291452967314,-1.62913470253426,53.8359902289599
"910583","E02002330","E02002358",12,0,1,0,0,0,0,10,1,0,0,0,11092.3185623082,0.0326328275638643,0.391593930766372,0.391593930766372,-1.40057715899652,53.9291452967314,-1.45980150747814,53.8357920353621
"910584","E02002330","E02002359",10,0,0,0,0,0,0,9,1,0,0,0,11129.0730670893,0.0323938263937028,0.323938263937028,0.323938263937028,-1.40057715899652,53.9291452967314,-1.36974253555547,53.8308039573781
"910585","E02002330","E02002360",2,0,0,0,1,0,0,1,0,0,0,0,15077.048639604,0.0147077232465269,0.0294154464930539,0.0294154464930539,-1.40057715899652,53.9291452967314,-1.56479860107334,53.8345486050107
"910586","E02002330","E02002361",14,0,0,0,0,0,0,14,0,0,0,0,13404.6023690578,0.0205500217810059,0.287700304934082,0.287700304934082,-1.40057715899652,53.9291452967314,-1.51437147115231,53.8291749543965
"910587","E02002330","E02002362",2,0,0,1,0,0,0,1,0,0,0,0,17762.9782133337,0.00859505323032896,0.0171901064606579,0.0171901064606579,-1.40057715899652,53.9291452967314,-1.61318115092283,53.8306166401771
"910588","E02002330","E02002363",8,0,0,0,0,0,0,7,1,0,0,0,14229.5745039905,0.0174243311927462,0.139394649541969,0.139394649541969,-1.40057715899652,53.9291452967314,-1.53486896231896,53.8288444260405
"910589","E02002330","E02002364",6,0,0,0,0,0,0,6,0,0,0,0,12188.5990440705,0.0262079464878116,0.15724767892687,0.15724767892687,-1.40057715899652,53.9291452967314,-1.46642557585055,53.8267392129167
"910590","E02002330","E02002366",7,0,0,0,0,0,0,7,0,0,0,0,12917.5980176801,0.022652333504875,0.158566334534125,0.158566334534125,-1.40057715899652,53.9291452967314,-1.4940384943,53.8270203890282
"910591","E02002330","E02002367",2,0,0,0,0,0,0,2,0,0,0,0,15462.343453441,0.0136169288081348,0.0272338576162696,0.0272338576162696,-1.40057715899652,53.9291452967314,-1.55124709105745,53.8224379020227
