"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp"
"910506","E02002330","E02002183",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910507","E02002330","E02002184",4,0,0,2,0,0,0,2,0,0,0,0,0,0.3,1.2,1.2
"910508","E02002330","E02002185",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910509","E02002330","E02002186",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910510","E02002330","E02002190",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910511","E02002330","E02002198",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910512","E02002330","E02002199",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910513","E02002330","E02002200",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910514","E02002330","E02002201",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910515","E02002330","E02002202",3,0,0,1,0,0,0,2,0,0,0,0,0,0.3,0.9,0.9
"910516","E02002330","E02002204",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910517","E02002330","E02002209",1,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.3
"910518","E02002330","E02002215",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910519","E02002330","E02002216",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910520","E02002330","E02002217",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910521","E02002330","E02002219",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910522","E02002330","E02002220",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910523","E02002330","E02002221",9,0,0,0,0,0,0,8,1,0,0,0,0,0.3,2.7,2.7
"910524","E02002330","E02002223",1,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3
"910525","E02002330","E02002224",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910526","E02002330","E02002225",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910527","E02002330","E02002226",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910528","E02002330","E02002227",3,0,0,0,0,0,0,2,1,0,0,0,0,0.3,0.9,0.9
"910529","E02002330","E02002228",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910530","E02002330","E02002229",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910531","E02002330","E02002230",6,0,0,0,1,0,0,5,0,0,0,0,0,0.3,1.8,1.8
"910532","E02002330","E02002233",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910533","E02002330","E02002235",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910534","E02002330","E02002239",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910536","E02002330","E02002258",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910538","E02002330","E02002266",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910539","E02002330","E02002271",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910540","E02002330","E02002272",7,0,0,0,1,0,0,5,1,0,0,0,0,0.3,2.1,2.1
"910541","E02002330","E02002275",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910542","E02002330","E02002279",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910543","E02002330","E02002280",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910544","E02002330","E02002283",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910545","E02002330","E02002284",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910546","E02002330","E02002285",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910547","E02002330","E02002286",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910548","E02002330","E02002287",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910549","E02002330","E02002295",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910555","E02002330","E02002316",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910557","E02002330","E02002330",66,0,0,0,0,0,1,29,4,1,31,0,0,0.3,19.8,18.8
"910558","E02002330","E02002331",742,0,0,1,5,1,1,426,51,38,218,1,3549.22087816988,0.147516244072655,109.45705310191,71.4570531019102
"910559","E02002330","E02002332",2,0,0,0,0,0,0,2,0,0,0,0,20109.0471207848,0.00537615293474396,0.0107523058694879,0.0107523058694879
"910560","E02002330","E02002333",9,0,0,0,0,0,0,6,0,2,1,0,19121.6850015789,0.00654987178299582,0.0589488460469624,-1.94105115395304
"910561","E02002330","E02002334",50,0,0,0,3,1,0,43,0,1,2,0,5900.57179085914,0.0921730802326591,4.60865401163296,3.60865401163296
"910562","E02002330","E02002335",23,0,0,0,0,0,0,20,1,0,2,0,6232.90271463848,0.0862458493890926,1.98365453594913,1.98365453594913
"910563","E02002330","E02002336",4,0,0,0,0,0,0,4,0,0,0,0,15470.1292984517,0.0135957414491211,0.0543829657964844,0.0543829657964844
"910564","E02002330","E02002337",2,0,0,0,0,0,0,2,0,0,0,0,23165.9886840322,0.00291708473122507,0.00583416946245013,0.00583416946245013
"910565","E02002330","E02002338",1,0,0,0,0,0,0,1,0,0,0,0,21382.710025664,0.00416718383994044,0.00416718383994044,0.00416718383994044
"910566","E02002330","E02002339",3,0,0,0,0,0,0,3,0,0,0,0,20454.1062132781,0.00501764766876457,0.0150529430062937,0.0150529430062937
"910567","E02002330","E02002340",1,0,0,0,0,0,0,1,0,0,0,0,19466.6393730194,0.00611322587344486,0.00611322587344486,0.00611322587344486
"910568","E02002330","E02002341",6,0,0,0,0,0,0,6,0,0,0,0,12130.6253312953,0.0265135893814049,0.159081536288429,0.159081536288429
"910569","E02002330","E02002343",3,0,0,0,0,0,0,3,0,0,0,0,19933.0662219545,0.00556874230415054,0.0167062269124516,0.0167062269124516
"910570","E02002330","E02002344",3,0,0,0,0,0,0,3,0,0,0,0,11699.0779102743,0.0289036213241243,0.0867108639723729,0.0867108639723729
"910571","E02002330","E02002345",6,0,0,0,0,0,0,5,0,0,1,0,14759.4183819573,0.0156723623035678,0.0940341738214066,0.0940341738214066
"910572","E02002330","E02002346",1,0,0,0,0,0,0,1,0,0,0,0,16817.3618840542,0.0103844562610071,0.0103844562610071,0.0103844562610071
"910573","E02002330","E02002347",5,0,0,0,0,0,0,5,0,0,0,0,13342.9965426716,0.0208047882828846,0.104023941414423,0.104023941414423
"910574","E02002330","E02002348",3,0,0,0,0,0,0,3,0,0,0,0,16299.1770471881,0.0115184150716712,0.0345552452150137,0.0345552452150137
"910575","E02002330","E02002349",3,0,0,0,0,0,0,3,0,0,0,0,11484.1421303969,0.030173198050881,0.090519594152643,0.090519594152643
"910576","E02002330","E02002350",4,0,0,0,1,0,0,3,0,0,0,0,18511.7371190438,0.00739966738219163,0.0295986695287665,0.0295986695287665
"910577","E02002330","E02002351",10,0,0,0,0,0,0,7,3,0,0,0,9738.0669094155,0.042784209293575,0.42784209293575,0.42784209293575
"910578","E02002330","E02002352",5,0,0,0,0,0,0,2,1,0,2,0,12985.5394881542,0.0223466087781407,0.111733043890704,0.111733043890704
"910579","E02002330","E02002353",3,0,0,0,0,0,0,3,0,0,0,0,12529.3423872783,0.0244814086088662,0.0734442258265985,0.0734442258265985
"910580","E02002330","E02002354",6,0,0,0,0,0,0,6,0,0,0,0,13937.0466040499,0.0184741628615127,0.110844977169076,0.110844977169076
"910581","E02002330","E02002356",14,0,0,0,1,0,0,12,1,0,0,0,20309.084048176,0.00516531281452349,0.0723143794033289,0.0723143794033289
"910582","E02002330","E02002357",1,0,0,0,0,0,0,1,0,0,0,0,18252.6717240514,0.00779317327916067,0.00779317327916067,0.00779317327916067
"910583","E02002330","E02002358",12,0,1,0,0,0,0,10,1,0,0,0,11092.3185623082,0.0326328275638643,0.391593930766372,0.391593930766372
"910584","E02002330","E02002359",10,0,0,0,0,0,0,9,1,0,0,0,11129.0730670893,0.0323938263937028,0.323938263937028,0.323938263937028
"910585","E02002330","E02002360",2,0,0,0,1,0,0,1,0,0,0,0,15077.048639604,0.0147077232465269,0.0294154464930539,0.0294154464930539
"910586","E02002330","E02002361",14,0,0,0,0,0,0,14,0,0,0,0,13404.6023690578,0.0205500217810059,0.287700304934082,0.287700304934082
"910587","E02002330","E02002362",2,0,0,1,0,0,0,1,0,0,0,0,17762.9782133337,0.00859505323032896,0.0171901064606579,0.0171901064606579
"910588","E02002330","E02002363",8,0,0,0,0,0,0,7,1,0,0,0,14229.5745039905,0.0174243311927462,0.139394649541969,0.139394649541969
"910589","E02002330","E02002364",6,0,0,0,0,0,0,6,0,0,0,0,12188.5990440705,0.0262079464878116,0.15724767892687,0.15724767892687
"910590","E02002330","E02002366",7,0,0,0,0,0,0,7,0,0,0,0,12917.5980176801,0.022652333504875,0.158566334534125,0.158566334534125
"910591","E02002330","E02002367",2,0,0,0,0,0,0,2,0,0,0,0,15462.343453441,0.0136169288081348,0.0272338576162696,0.0272338576162696
"910592","E02002330","E02002371",6,0,0,0,0,0,0,5,0,0,1,0,14923.9434465399,0.0151650552645102,0.0909903315870611,0.0909903315870611
"910593","E02002330","E02002373",4,0,0,0,0,0,0,4,0,0,0,0,17115.4222123141,0.00978350722959214,0.0391340289183686,0.0391340289183686
"910594","E02002330","E02002374",3,0,0,0,1,0,0,2,0,0,0,0,17964.5408571966,0.00825545590193749,0.0247663677058125,0.0247663677058125
"910595","E02002330","E02002375",1,0,0,0,0,0,0,1,0,0,0,0,19175.0317822151,0.00648036034888052,0.00648036034888052,0.00648036034888052
"910596","E02002330","E02002376",3,0,0,0,0,0,0,3,0,0,0,0,14254.5550631429,0.0173374943893547,0.0520124831680642,0.0520124831680642
"910597","E02002330","E02002377",2,0,0,0,0,0,0,1,1,0,0,0,14876.986935758,0.0153081457319528,0.0306162914639055,0.0306162914639055
"910598","E02002330","E02002379",7,0,0,0,0,0,0,7,0,0,0,0,13438.3668758425,0.020411717015831,0.142882019110817,0.142882019110817
"910599","E02002330","E02002380",1,0,0,0,0,0,0,1,0,0,0,0,20272.4180480889,0.00520333031112989,0.00520333031112989,0.00520333031112989
"910600","E02002330","E02002381",2,0,0,0,0,0,0,2,0,0,0,0,20831.8374433257,0.00465254781146093,0.00930509562292186,0.00930509562292186
"910601","E02002330","E02002382",2,0,0,0,0,0,0,2,0,0,0,0,15052.6665347954,0.0147796194520761,0.0295592389041523,0.0295592389041523
"910602","E02002330","E02002383",1,0,0,0,0,0,0,1,0,0,0,0,17277.0896869713,0.00947223167962073,0.00947223167962073,0.00947223167962073
"910603","E02002330","E02002384",16,0,0,0,1,0,0,11,3,1,0,0,16343.3735277132,0.0114170490523252,0.182672784837204,-0.817327215162796
"910604","E02002330","E02002385",3,0,0,0,0,0,0,2,0,0,1,0,18028.2432530102,0.00815094461366916,0.0244528338410075,0.0244528338410075
"910605","E02002330","E02002386",11,0,0,0,0,0,1,9,1,0,0,0,13613.4833669714,0.0197092053107385,0.216801258418123,0.216801258418123
