"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","ecp"
"1",494950,"E02001045","E02001045",236,0,3,1,20,2,1,78,17,0,113,1,0,0.3,70.8,70.8
"2",494951,"E02001045","E02001046",71,0,3,0,11,2,0,35,4,0,15,1,1288.78532999772,0.231834883367203,16.4602767190714,16.4602767190714
"3",494952,"E02001045","E02001047",24,0,0,0,2,2,0,14,3,0,3,0,2734.09261419768,0.1736364858025,4.16727565926,4.16727565926
"4",494953,"E02001045","E02001048",43,0,1,0,9,1,0,14,2,0,16,0,1716.57530181003,0.212824400371531,9.15144921597583,9.15144921597583
"5",494954,"E02001045","E02001049",6,0,0,0,2,0,0,3,1,0,0,0,4124.29580559749,0.131489015201164,0.788934091206984,0.788934091206984
"6",494955,"E02001045","E02001050",150,0,0,0,40,1,0,74,14,6,14,1,2236.12999394085,0.191819816537345,28.7729724806017,22.7729724806017
"7",494956,"E02001045","E02001051",23,0,0,0,5,0,0,13,4,0,1,0,3217.75474145623,0.157627006906866,3.62542115885791,3.62542115885791
"8",494957,"E02001045","E02001052",57,0,0,0,19,3,0,26,2,2,4,1,2829.27387762949,0.170362360196616,9.71065453120709,7.71065453120709
"9",494958,"E02001045","E02001053",32,0,0,0,11,1,0,14,5,0,1,0,3621.20020456678,0.145407832711721,4.65305064677508,4.65305064677508
"10",494959,"E02001045","E02001055",47,0,0,0,3,0,1,29,8,5,1,0,4928.51477072733,0.11195304255866,5.26179300025702,0.261793000257016
"11",494960,"E02001045","E02001056",9,0,0,0,3,0,0,2,1,1,2,0,6133.99758655713,0.0879688660810626,0.791719794729563,-0.208280205270437
"12",494961,"E02001045","E02001057",16,0,0,3,2,0,0,9,2,0,0,0,5647.9690896183,0.0969493480176964,1.55118956828314,1.55118956828314
"13",494962,"E02001045","E02001059",44,0,0,0,4,2,0,28,3,3,4,0,6625.45318995868,0.0797336605002907,3.50828106201279,0.508281062012791
