"","Area.of.residence","Area.of.workplace","All","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","clc","plc","ecp","ecp_perc"
"494950","E02001045","E02001045",236,0,3,1,20,2,1,78,17,0,113,1,0,0,0.024601022515226,5.80584131359334,0.024601022515226
"494951","E02001045","E02001046",71,0,3,0,11,2,0,35,4,0,15,1,1.23841713897218,0,0.0398998677205541,2.83289060815934,0.0398998677205541
"494952","E02001045","E02001047",24,0,0,0,2,2,0,14,3,0,3,0,2.97965324628836,0,0.0407861504765796,0.97886761143791,0.0407861504765796
"494953","E02001045","E02001048",43,0,1,0,9,1,0,14,2,0,16,0,1.64136631129955,0,0.0408417122676825,1.75619362751035,0.0408417122676825
"494954","E02001045","E02001049",6,0,0,0,2,0,0,3,1,0,0,0,4.28142420440601,0,0.0382774606028663,0.229664763617198,0.0382774606028663
"494955","E02001045","E02001050",150,0,0,0,40,1,0,74,14,6,14,1,2.26476395918916,0.04,0.041283174673418,0.192476201012699,0.00128317467341799
"494956","E02001045","E02001051",23,0,0,0,5,0,0,13,4,0,1,0,3.20990544466919,0,0.0404644797907795,0.930683035187928,0.0404644797907795
"494957","E02001045","E02001052",57,0,0,0,19,3,0,26,2,2,4,1,2.66729189296132,0.0350877192982456,0.0411073895050848,0.343121201789835,0.0060196702068392
"494958","E02001045","E02001053",32,0,0,0,11,1,0,14,5,0,1,0,3.37822648136161,0,0.040189938095721,1.28607801906307,0.040189938095721
"494959","E02001045","E02001055",47,0,0,0,3,0,1,29,8,5,1,0,5.13974340409604,0.106382978723404,0.0359990898509403,-3.30804277700581,-0.070383888872464
"494960","E02001045","E02001056",9,0,0,0,3,0,0,2,1,1,2,0,6.0824703903991,0.111111111111111,0.0332307871264429,-0.700922915862014,-0.0778803239846682
"494961","E02001045","E02001057",16,0,0,3,2,0,0,9,2,0,0,0,5.60007579834249,0,0.0346698514981333,0.554717623970132,0.0346698514981333
"494962","E02001045","E02001059",44,0,0,0,4,2,0,28,3,3,4,0,6.49257163513889,0.0681818181818182,0.0319863986640036,-1.59259845878384,-0.0361954195178145
"494963","E02001045","E02001061",10,0,0,0,1,0,0,9,0,0,0,0,8.17673691342179,0,0.0268880579141375,0.268880579141375,0.0268880579141375
"494964","E02001045","E02001062",56,0,1,0,10,0,3,35,3,1,3,0,7.4373071511037,0.0178571428571429,0.0291060241214358,0.629937350800406,0.011248881264293
"494965","E02001045","E02001063",18,0,0,1,4,0,0,11,2,0,0,0,7.7837443290643,0,0.0280601300337585,0.505082340607654,0.0280601300337585
"494966","E02001045","E02001064",26,0,0,0,8,1,0,13,1,1,2,0,8.27795055912392,0.0384615384615385,0.0265891982896988,-0.308680844467832,-0.0118723401718397
"494967","E02001045","E02001065",3,0,0,0,0,0,0,3,0,0,0,0,8.94950477577355,0,0.0246437222465725,0.0739311667397176,0.0246437222465725
"494968","E02001045","E02001066",33,0,2,0,13,0,0,16,2,0,0,0,8.55832765450119,0,0.0257686411629881,0.850365158378609,0.0257686411629881
"494969","E02001045","E02001067",2,0,0,0,0,0,0,1,0,0,1,0,9.27085299647692,0,0.0237388146527985,0.0474776293055969,0.0237388146527985
"494970","E02001045","E02001068",5,0,0,0,2,0,0,3,0,0,0,0,8.84805994659664,0,0.0249330783056569,0.124665391528284,0.0249330783056569
"494971","E02001045","E02001069",3,0,0,0,1,0,0,2,0,0,0,0,8.98341486540047,0,0.0245473844365438,0.0736421533096313,0.0245473844365438
"494972","E02001045","E02001070",9,0,0,0,5,0,0,4,0,0,0,0,9.11665199722603,0,0.0241707748041873,0.217536973237686,0.0241707748041873
"494973","E02001045","E02001071",2,0,0,0,1,0,0,1,0,0,0,0,9.5813207785955,0,0.022882354718906,0.0457647094378119,0.022882354718906
"494974","E02001045","E02001072",6,0,0,0,0,0,0,5,1,0,0,0,9.56648007833653,0,0.022922880428707,0.137537282572242,0.022922880428707
"494975","E02001045","E02001073",3,0,0,0,0,0,0,3,0,0,0,0,10.4264135644449,0,0.0206470612647485,0.0619411837942455,0.0206470612647485
"494976","E02001045","E02001074",5,0,0,0,1,0,0,4,0,0,0,0,9.89696713105145,0,0.0220305839682683,0.110152919841341,0.0220305839682683
"494977","E02001045","E02001075",3,0,0,0,2,0,0,1,0,0,0,0,10.4119379395145,0,0.0206841138739718,0.0620523416219153,0.0206841138739718
"494978","E02001045","E02001076",1,0,0,0,0,0,0,1,0,0,0,0,10.180262842232,0,0.0212830956513972,0.0212830956513972,0.0212830956513972
"494979","E02001045","E02001077",5,0,0,0,0,0,0,3,1,0,1,0,10.8941329929486,0,0.0194738787919524,0.0973693939597622,0.0194738787919524
"494980","E02001045","E02001078",1,0,0,0,0,0,0,1,0,0,0,0,10.9370703145219,0,0.0193685371807245,0.0193685371807245,0.0193685371807245
"494981","E02001045","E02001080",5,0,0,0,3,0,0,2,0,0,0,0,10.8602701555615,0,0.0195572389460095,0.0977861947300477,0.0195572389460095
"494982","E02001045","E02001081",1,0,0,0,1,0,0,0,0,0,0,0,11.3883202528216,0,0.0182857567302166,0.0182857567302166,0.0182857567302166
"494983","E02001045","E02001082",3,0,0,0,0,0,0,3,0,0,0,0,11.5618973424888,0,0.0178811476897388,0.0536434430692163,0.0178811476897388
"494984","E02001045","E02001083",4,0,0,0,0,0,0,4,0,0,0,0,11.9397788533251,0,0.0170232608121226,0.0680930432484905,0.0170232608121226
"494985","E02001045","E02001085",4,0,0,0,2,0,0,1,0,1,0,0,12.0155056410184,0.25,0.0168551281263541,-0.932579487494584,-0.233144871873646
"494986","E02001045","E02001086",4,0,0,0,1,1,0,2,0,0,0,0,12.5358479662563,0,0.0157339358019288,0.0629357432077153,0.0157339358019288
"494987","E02001045","E02001087",1,0,0,0,0,0,0,0,0,0,1,0,12.9457419500023,0,0.0148923780502646,0.0148923780502646,0.0148923780502646
"494988","E02001045","E02001089",5,0,0,0,0,0,0,5,0,0,0,0,13.8859389482262,0,0.0130978810561786,0.0654894052808931,0.0130978810561786
"494989","E02001045","E02001091",1,0,0,0,1,0,0,0,0,0,0,0,15.3952446359597,0,0.0105937435314062,0.0105937435314062,0.0105937435314062
"494990","E02001045","E02001092",3,0,0,0,0,0,0,1,0,0,2,0,15.6915209480668,0,0.0101534497405348,0.0304603492216044,0.0101534497405348
"494991","E02001045","E02001093",3,0,0,0,0,0,0,3,0,0,0,0,16.0301347109385,0,0.00966971429028162,0.0290091428708449,0.00966971429028162
"494992","E02001045","E02001094",5,0,0,0,2,0,0,3,0,0,0,0,16.721701425208,0,0.00874386758796303,0.0437193379398151,0.00874386758796303
"494993","E02001045","E02001095",10,0,0,0,1,0,0,9,0,0,0,0,17.2004298086825,0,0.00814959662861342,0.0814959662861341,0.00814959662861342
"494994","E02001045","E02001096",2,0,0,0,1,0,0,1,0,0,0,0,17.4481658171489,0,0.00785637956572908,0.0157127591314582,0.00785637956572908
"494995","E02001045","E02001097",12,0,0,0,0,0,1,9,0,0,2,0,18.0744826494314,0,0.00715667210896561,0.0858800653075873,0.00715667210896561
"495237","E02001045","E02006902",218,0,17,2,98,0,1,79,16,2,3,0,5.24839941303035,0.00917431192660551,0.0356904027425293,5.78050779787139,0.0265160908159238
"495238","E02001045","E02006912",108,0,4,1,35,0,1,56,5,1,3,2,6.35013497319814,0.00925925925925926,0.0324199736467048,2.50135715384412,0.0231607143874455
"495239","E02001045","E02006913",57,0,0,0,17,2,0,34,2,1,1,0,3.72558169549735,0.0175438596491228,0.0395329268832099,1.25337683234296,0.0219890672340871
"495240","E02001045","E02006914",25,0,2,0,10,1,0,10,0,0,2,0,7.07600484531726,0,0.0302053515869763,0.755133789674408,0.0302053515869763
"495241","E02001045","E02006915",25,0,0,0,4,0,0,13,4,2,2,0,3.83481794811866,0.08,0.0393041566704933,-1.01739608323767,-0.0406958433295067
"495242","E02001045","E02006916",2,0,0,0,2,0,0,0,0,0,0,0,7.40223619836987,0,0.0292124203744152,0.0584248407488305,0.0292124203744152
"495243","E02001045","E02006917",58,0,3,1,22,0,0,24,4,2,2,0,6.74399027828963,0.0344827586206897,0.031219157738123,-0.189288851188866,-0.00326360088256665
"495295","E02001046","E02001045",107,0,1,0,2,5,2,37,3,1,55,1,1.23841713897218,0.00934579439252336,0.0398998677205541,3.26928584609929,0.0305540733280307
"495296","E02001046","E02001046",153,0,1,1,21,6,0,56,4,1,63,0,0,0.0065359477124183,0.024601022515226,2.76395644482958,0.0180650748028077
"495297","E02001046","E02001047",57,0,0,0,8,0,0,24,0,1,24,0,1.82324861957465,0.0175438596491228,0.0410788704618128,1.34149561632333,0.02353501081269
"495298","E02001046","E02001048",19,0,0,0,0,4,0,11,4,0,0,0,2.02423239226751,0,0.0412311750283323,0.783392325538313,0.0412311750283323
"495299","E02001046","E02001049",13,0,0,0,4,1,0,6,1,0,1,0,3.07214827809103,0,0.0406648860296058,0.528643518384876,0.0406648860296058
